ID,Kael,angularity,surface_roughness,asymmetricity1,asymmetricity2,polygonality,area,perimeter,elongation,bulkiness,surface,circularity,sphericity
9_Drawing of 17_particle_2,0.577140263,2.279702922,0.131213146,1.083523626,83.41339474,4.0,12289,596,1.794117647,1.518919359,2.300202712,0.659351418,0.663468613
9_Drawing of 17_particle_3,0.653046662,1.981990778,0.1218549,1.531801816,65.25513405,3.0,12501,592,1.577187136,1.596859314,2.230944643,0.669507741,0.632247716
9_Drawing of 17_particle_4,0.660083606,1.69283555,0.100676115,0.963136894,54.73948179,3.464101615,12429,584,1.550676118,1.387733045,2.183632966,0.676721818,0.75503232
9_Drawing of 17_particle_5,0.90214328,2.032298455,0.124499568,1.714913983,48.82784068,3.464101615,12495,550,1.087344056,1.266644939,1.92654543,0.720460828,0.794928198
9_Drawing of 17_particle_6,0.819233554,2.763325992,0.073891912,0.82046235,31.31913205,5.477225575,12620,568,1.223034165,1.260738582,2.034358334,0.701110181,0.816345137
9_Drawing of 18_particle_1,0.499128311,2.182657932,0.169216229,0.961026946,45.62199426,3.0,12465,640,2.112450375,1.501859466,2.614916353,0.618402305,0.610267713
9_Drawing of 18_particle_2,0.517746979,1.671026621,0.11300191,0.955350939,35.89562681,4.0,12427,616,2.256524653,1.373586487,2.429882437,0.641515818,0.593921862
9_Drawing of 18_particle_3,0.618793624,1.874526149,0.114285978,0.546099695,47.91869279,3.464101615,12506,574,1.766133922,1.326887875,2.09650304,0.690640833,0.679870475
9_Drawing of 18_particle_4,0.89072459,1.867108369,0.154044194,1.156535862,60.73262817,5.916079783,12523,574,1.181489543,1.430595257,2.093657032,0.691110084,0.740745757
9_Drawing of 19_particle_1,0.463722319,2.02698371,0.170711688,0.755445061,25.6873586,3.0,12991,632,2.351626971,1.488471113,2.446705565,0.639306537,0.568482873
9_Drawing of 19_particle_2,0.544479914,1.760579875,0.124151187,1.206287788,46.74871554,3.0,12951,588,1.997418192,1.429622948,2.124425397,0.686087106,0.617761373
9_Drawing of 19_particle_3,0.710076785,2.119373437,0.154089746,2.057422431,255.6552866,3.464101615,13275,610,1.43558276,1.464863144,2.230567018,0.669564411,0.729866133
9_Drawing of 19_particle_4,0.836010069,2.53415812,0.187664961,0.773290797,86.21792094,4.242640687,13240,604,1.197873049,1.476315269,2.192683902,0.675323692,0.714051841
9_Drawing of 19_particle_5,0.867157555,1.618672837,0.08675405,0.841327459,38.10587529,3.0,13086,564,1.14385863,1.297193485,1.934378373,0.719000655,0.815883829
9_Drawing of 19_particle_6,0.539920859,2.810606431,0.131706378,0.906076855,83.68731444,3.464101615,13396,636,2.059340935,1.414912229,2.402864208,0.645112394,0.602123833
9_Drawing of 19_particle_7,0.908625007,2.439084141,0.161461614,1.664235509,62.62340936,3.872983346,13313,576,1.121760205,1.310168043,1.983166469,0.710101475,0.744875521
9_Drawing of 2_particle_1,0.46864482,1.773903792,0.112172376,1.508290584,257.2151242,3.464101615,6985,478,2.537546704,1.284680512,2.60303207,0.619812372,0.56806205
9_Drawing of 2_particle_2,0.482079208,1.794593489,0.15139027,0.958728791,76.80682055,4.0,7029,432,2.255267902,1.292699939,2.112827721,0.687967555,0.635406833
